_id,AnimalID,AnimalName,AnimalType,PrimaryColor,SecondaryColor,PrimaryBreed,Sex,DOB,Age,IntakeDate,IntakeCondition,IntakeType,IntakeSubtype,IntakeReason,OutcomeDate,OutcomeType,OutcomeSubtype,OutcomeCondition,Crossing,Jurisdiction,LastUpdate
1,A0016309,KOTO,DOG,GOLD,,GOLDEN RETR,NEUTERED,1984-08-31,15 YEARS,2023-07-31,MED R,STRAY,OTC,,2023-07-31,,,DEAD,OCALA AVENUE,,2023-07-31
2,A0537603,MILEY,CAT,CALICO-TRI,,DOMESTIC SH,SPAYED,2005-09-14,18 YEARS,2023-10-03,DEAD,DISPO REQ,OTC OWNED,,2023-10-03,DISPOSAL,,DEAD,,SAN JOSE,2023-10-03
3,A0540068,LIL DUDE,CAT,BLACK,,DOMESTIC SH,NEUTERED,,NO AGE,2023-08-17,DEAD,DISPO REQ,OTC,,2023-08-17,DISPOSAL,,DEAD,,SAN JOSE,2023-08-17
4,A0548113,MOCHA,DOG,BROWN,,POMERANIAN,FEMALE,2007-02-06,17 YEARS,2024-03-28,DEAD,DISPO REQ,OTC,,2024-03-28,DISPOSAL,,DEAD,SAYOKO CIR / SNELL AVE,SAN JOSE,2024-03-28
5,A0556036,TY,DOG,TAN,WHITE,CHIHUAHUA SH,NEUTERED,2006-02-12,18 YEARS,2024-02-26,MED R,FOSTER,,,2024-02-27,RESCUE,MUTTVILLE,MED R,,SAN JOSE,2024-02-27
6,A0556036,TY,DOG,TAN,WHITE,CHIHUAHUA SH,NEUTERED,2006-02-12,18 YEARS,2023-08-28,MED R,OWNER SUR,OTC,,2024-02-26,FOSTER,,MED R,,SAN JOSE,2024-02-26
7,A0559358,JIGGY/BOO BOO,DOG,BLACK,,CHIHUAHUA SH,SPAYED,2003-05-23,20 YEARS,2023-12-26,DEAD,DISPO REQ,OTC OWNED,,2023-12-26,DISPOSAL,,DEAD,,SAN JOSE,2023-12-26
8,A0574466,ANDREA,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,2007-08-13,16 YEARS,2023-09-06,DEAD,DISPO REQ,OTC,,2023-11-30,DISPOSAL,,DEAD,BALFOUR DR X LONE BLUFF WAY,SAN JOSE,2023-11-30
9,A0586097,,CAT,CALICO-TRI,,DOMESTIC LH,SPAYED,,NO AGE,2023-07-02,DEAD,DISPO REQ,OTC,,2023-07-02,DISPOSAL,,DEAD,,,2023-07-02
10,A0595412,WUPPY,DOG,WHITE,BLACK,COCKER SPAN,MALE,,NO AGE,2024-02-07,DEAD,DISPO REQ,OTC OWNED,,2024-02-07,DISPOSAL,,DEAD,,SAN JOSE,2024-02-07
11,A0599338,GRAYCIE,CAT,GRAY,,DOMESTIC SH,SPAYED,2008-04-08,16 YEARS,2024-06-16,MED R,STRAY,MEDVET,,2024-06-19,RTO,,HEALTHY,ALMADEN EX / MCABEE,SAN JOSE,2024-06-19
12,A0607414,SELENA,CAT,ORANGE,WHITE,DOMESTIC SH,SPAYED,2008-04-22,15 YEARS,2023-08-03,DEAD,DISPO REQ,OTC OWNED,,2023-08-03,DISPOSAL,,DEAD,,,2023-08-03
13,A0612332,PAIGOW,DOG,BLACK,RED,YORKSHIRE TERR,NEUTERED,2008-07-07,15 YEARS,2024-06-06,DEAD,DISPO REQ,OTC OWNED,,2024-06-06,DISPOSAL,,DEAD,,SAN JOSE,2024-06-06
14,A0616738,MARNIE,DOG,RED,SABLE,SHIBA INU,SPAYED,2007-01-21,17 YEARS,2023-07-01,MED R,STRAY,MEDVET,,2023-07-05,RTO,,MED R,BLOSSOM HILL RD. CHICK FIL A,SAN JOSE,2023-07-05
15,A0620931,NACHO,DOG,BROWN,,BASSET HOUND,MALE,2008-07-06,15 YEARS,2023-12-23,DEAD,DISPO REQ,OTC,,2023-12-23,DISPOSAL,,DEAD,SAN JOSE,SAN JOSE,2023-12-23
16,A0631371,FEFE,CAT,BROWN,,DOMESTIC SH,NEUTERED,2005-04-22,18 YEARS,2023-10-31,DEAD,DISPO REQ,OTC,,2023-10-31,DISPOSAL,,DEAD,EASTRIDGE DR,SAN JOSE,2023-10-31
